freq	real(S(1,1))
2.63000000009999990E9	4.93212215598897163E-1
2.64000000010000013E9	4.90080245499691980E-1
2.65000000009999992E9	4.86945591840160397E-1
2.66000000010000015E9	4.83808323618192926E-1
2.67000000009999994E9	4.80668509605930439E-1
2.68000000010000017E9	4.77526218348355069E-1
2.69000000010000040E9	4.74381518160982729E-1
2.70000000010000019E9	4.71234477128639639E-1
2.71000000009999997E9	4.68085163103314716E-1
2.72000000009999976E9	4.64933643702648070E-1
2.73000000009999999E9	4.61779986308140700E-1
2.74000000010000022E9	4.58624258064005375E-1
2.75000000010000001E9	4.55466525874892003E-1
2.76000000010000024E9	4.52306856404641344E-1
2.77000000010000003E9	4.49145316074844203E-1
2.78000000010000026E9	4.45981971063116944E-1
2.79000000010000004E9	4.42816887301774997E-1
2.80000000009999983E9	4.39650130476327128E-1
2.81000000010000006E9	4.36481766024156492E-1
2.82000000009999985E9	4.33311859132715149E-1
2.83000000010000008E9	4.30140474738773815E-1
2.84000000010000031E9	4.26967677526757239E-1
2.85000000010000010E9	4.23793531927298961E-1
2.86000000010000033E9	4.20618102116362635E-1
2.87000000010000011E9	4.17441452013527670E-1
2.88000000009999990E9	4.14263645281367232E-1
2.89000000010000013E9	4.11084745323447365E-1
2.90000000009999992E9	4.07904815284117639E-1
2.91000000010000015E9	4.04723918046526521E-1
2.92000000009999994E9	4.01542116232047874E-1
2.93000000010000017E9	3.98359472199020015E-1
2.94000000010000040E9	3.95176048041558703E-1
2.95000000010000019E9	3.91991905589046841E-1
2.96000000009999997E9	3.88807106404362113E-1
2.97000000009999976E9	3.85621711783598942E-1
2.98000000009999999E9	3.82435782754769082E-1
2.99000000010000022E9	3.79249380076949860E-1
3.00000000010000001E9	3.76062564239594055E-1
3.01000000010000024E9	3.72875395461234493E-1
3.02000000010000003E9	3.69687933689040404E-1
3.03000000010000026E9	3.66500238598043593E-1
3.04000000010000004E9	3.63312369589909201E-1
3.05000000009999983E9	3.60124385792738311E-1
3.06000000010000006E9	3.56936346059741672E-1
3.07000000009999985E9	3.53748308969296099E-1
3.08000000010000008E9	3.50560332823437237E-1
3.09000000010000031E9	3.47372475647697465E-1
3.10000000010000010E9	3.44184795190565218E-1
3.11000000010000033E9	3.40997348922461141E-1
3.12000000010000011E9	3.37810194035476741E-1
3.13000000009999990E9	3.34623387442740894E-1
3.14000000010000013E9	3.31436985777752158E-1
3.15000000009999992E9	3.28251045394160501E-1
3.16000000010000015E9	3.25065622365025675E-1
3.17000000009999994E9	3.21880772482412203E-1
3.18000000010000017E9	3.18696551257104277E-1
3.19000000010000040E9	3.15513013917830598E-1
3.20000000010000019E9	3.12330215411338763E-1
3.21000000009999997E9	3.09148210401748447E-1
3.22000000009999976E9	3.05967053270119083E-1
3.23000000009999999E9	3.02786798114447864E-1
3.24000000010000022E9	2.99607498749028922E-1
3.25000000010000045E9	2.96429208704364511E-1
3.26000000009999980E9	2.93251981226971603E-1
3.27000000010000003E9	2.90075869278844323E-1
3.28000000009999937E9	2.86900925537656670E-1
3.29000000009999960E9	2.83727202396141687E-1
3.30000000009999983E9	2.80554751962258209E-1
3.31000000009999962E9	2.77383626058799182E-1
3.32000000009999940E9	2.74213876223489139E-1
3.33000000009999919E9	2.71045553708624265E-1
3.34000000009999942E9	2.67878709481168542E-1
3.35000000009999965E9	2.64713394222652276E-1
3.36000000009999988E9	2.61549658329018442E-1
3.37000000010000011E9	2.58387551910636226E-1
3.38000000009999990E9	2.55227124792415161E-1
3.39000000010000013E9	2.52068426513649246E-1
3.40000000010000036E9	2.48911506328076015E-1
3.41000000009999971E9	2.45756413204002655E-1
3.42000000009999994E9	2.42603195824331097E-1
3.43000000010000017E9	2.39451902586522491E-1
3.44000000010000040E9	2.36302581602904960E-1
3.45000000010000019E9	2.33155280700534595E-1
3.46000000009999997E9	2.30010047421735253E-1
3.47000000009999976E9	2.26866929023764818E-1
3.48000000009999999E9	2.23725972479271951E-1
3.49000000010000022E9	2.20587224476531452E-1
3.50000000010000045E9	2.17450731419372323E-1
3.51000000009999980E9	2.14316539427821251E-1
3.52000000010000003E9	2.11184694337779533E-1
3.53000000010000026E9	2.08055241701921911E-1
3.54000000010000004E9	2.04928226789382606E-1
3.55000000010000027E9	2.01803694586393467E-1
3.56000000009999962E9	1.98681689796534888E-1
3.57000000009999985E9	1.95562256840907445E-1
3.58000000010000008E9	1.92445439858678125E-1
3.59000000010000031E9	1.89331282707211557E-1
3.60000000010000054E9	1.86219828962623568E-1
3.61000000009999988E9	1.83111121920043196E-1
3.62000000010000011E9	1.80005204594086310E-1
3.63000000009999990E9	1.76902119719126505E-1
3.64000000010000013E9	1.73801909749818684E-1
3.65000000010000036E9	1.70704616861652392E-1
3.66000000009999971E9	1.67610282951132561E-1
3.67000000009999994E9	1.64518949636431655E-1
3.68000000010000017E9	1.61430658257857296E-1
3.69000000010000040E9	1.58345449878255051E-1
3.70000000010000019E9	1.55263365283568433E-1
3.71000000009999997E9	1.52184444983357148E-1
3.72000000009999976E9	1.49108729211348878E-1
3.73000000009999999E9	1.46036257925936219E-1
3.74000000010000022E9	1.42967070810638974E-1
3.75000000010000045E9	1.39901207274959027E-1
3.76000000009999980E9	1.36838706454667447E-1
