freq	real(S(1,1))
4.42999999999999972E9	4.23104047997704402E-1
4.43999999999999950E9	4.21071622042455740E-1
4.45000000000000018E9	4.19038738690023571E-1
4.45999999999999996E9	4.17005414340833092E-1
4.47000000000000064E9	4.14971665345523100E-1
4.47999999999999954E9	4.12937508004983744E-1
4.49000000000000021E9	4.10902958569836940E-1
4.50000000000000000E9	4.08868033240510798E-1
4.50999999999999979E9	4.06832748167450475E-1
4.52000000000000046E9	4.04797119450511289E-1
4.52999999999999936E9	4.02761163139006229E-1
4.54000000000000004E9	4.00724895231764577E-1
4.54999999999999982E9	3.98688331676877450E-1
4.56000000000000050E9	3.96651488371810634E-1
4.57000000000000028E9	3.94614381163039374E-1
4.58000000000000007E9	3.92577025845863625E-1
4.58999999999999986E9	3.90539438164921204E-1
4.59999999999999964E9	3.88501633813490121E-1
4.61000000000000032E9	3.86463628433447282E-1
4.62000000000000011E9	3.84425437615729004E-1
4.62999999999999989E9	3.82387076899645129E-1
4.63999999999999968E9	3.80348561772900551E-1
4.65000000000000036E9	3.78309907671909862E-1
4.66000000000000014E9	3.76271129981299524E-1
4.66999999999999993E9	3.74232244033875228E-1
4.67999999999999972E9	3.72193265110825067E-1
4.68999999999999950E9	3.70154208441460186E-1
4.70000000000000018E9	3.68115089203131296E-1
4.70999999999999996E9	3.66075922521089447E-1
4.72000000000000064E9	3.64036723468695644E-1
4.72999999999999954E9	3.61997507067020940E-1
4.74000000000000021E9	3.59958288285182615E-1
4.75000000000000000E9	3.57919082039745984E-1
4.75999999999999979E9	3.55879903195203573E-1
4.77000000000000046E9	3.53840766563634279E-1
4.77999999999999936E9	3.51801686904684274E-1
4.79000000000000004E9	3.49762678925459758E-1
4.79999999999999982E9	3.47723757280715917E-1
4.81000000000000050E9	3.45684936572514534E-1
4.82000000000000028E9	3.43646231350343889E-1
4.83000000000000007E9	3.41607656111144964E-1
4.83999999999999986E9	3.39569225298904653E-1
4.84999999999999964E9	3.37530953305140491E-1
4.86000000000000032E9	3.35492854468513180E-1
4.87000000000000011E9	3.33454943074728449E-1
4.87999999999999989E9	3.31417233356871677E-1
4.88999999999999968E9	3.29379739494896739E-1
4.90000000000000036E9	3.27342475616098527E-1
4.91000000000000014E9	3.25305455794654419E-1
4.91999999999999993E9	3.23268694051849881E-1
4.92999999999999972E9	3.21232204355871076E-1
4.93999999999999950E9	3.19196000622030240E-1
4.95000000000000018E9	3.17160096712376438E-1
4.95999999999999996E9	3.15124506436134100E-1
4.97000000000000064E9	3.13089243549294238E-1
4.97999999999999954E9	3.11054321754718144E-1
4.99000000000000021E9	3.09019754702267724E-1
5.00000000000000000E9	3.06985555988494419E-1
5.00999999999999979E9	3.04951739156901436E-1
5.02000000000000046E9	3.02918317697871142E-1
5.02999999999999936E9	3.00885305048449014E-1
5.04000000000000004E9	2.98852714592710456E-1
5.04999999999999982E9	2.96820559661288730E-1
5.06000000000000050E9	2.94788853531851025E-1
5.07000000000000028E9	2.92757609428774934E-1
5.08000000000000007E9	2.90726840523082064E-1
5.08999999999999986E9	2.88696559932883901E-1
5.09999999999999964E9	2.86666780722891090E-1
5.11000000000000032E9	2.84637515904614835E-1
5.12000000000000011E9	2.82608778436488572E-1
5.12999999999999989E9	2.80580581223619507E-1
5.13999999999999968E9	2.78552937118022870E-1
5.15000000000000036E9	2.76525858918498013E-1
5.16000000000000014E9	2.74499359370679930E-1
5.16999999999999993E9	2.72473451167051905E-1
5.17999999999999972E9	2.70448146946958845E-1
5.18999999999999950E9	2.68423459296620592E-1
5.20000000000000018E9	2.66399400749145476E-1
5.20999999999999996E9	2.64375983784510993E-1
5.22000000000000064E9	2.62353220829702138E-1
5.22999999999999954E9	2.60331124258567526E-1
5.24000000000000021E9	2.58309706391944172E-1
5.25000000000000000E9	2.56288979497639513E-1
5.25999999999999979E9	2.54268955790551976E-1
5.27000000000000046E9	2.52249647432487345E-1
5.27999999999999936E9	2.50231066532410340E-1
5.29000000000000004E9	2.48213225146383332E-1
5.29999999999999982E9	2.46196135277588990E-1
5.31000000000000050E9	2.44179808876215265E-1
5.32000000000000028E9	2.42164257839862618E-1
5.33000000000000007E9	2.40149494013183862E-1
5.33999999999999986E9	2.38135529188215678E-1
5.34999999999999964E9	2.36122375104100168E-1
5.36000000000000032E9	2.34110043447457006E-1
5.37000000000000011E9	2.32098545852286842E-1
5.37999999999999989E9	2.30087893899837637E-1
5.38999999999999968E9	2.28078099118927291E-1
5.40000000000000036E9	2.26069172985901456E-1
5.41000000000000014E9	2.24061126924474108E-1
5.41999999999999993E9	2.22053972306085035E-1
5.42999999999999972E9	2.20047720449719320E-1
5.43999999999999950E9	2.18042382622056330E-1
5.45000000000000018E9	2.16037970037523452E-1
5.45999999999999996E9	2.14034493858197505E-1
5.47000000000000064E9	2.12031965194111605E-1
5.47999999999999954E9	2.10030395103064427E-1
5.49000000000000021E9	2.08029794590813166E-1
5.50000000000000000E9	2.06030174611156580E-1
5.50999999999999979E9	2.04031546065811087E-1
5.52000000000000046E9	2.02033919804659012E-1
5.52999999999999936E9	2.00037306625652445E-1
5.54000000000000004E9	1.98041717275004858E-1
5.54999999999999982E9	1.96047162447181345E-1
5.56000000000000050E9	1.94053652784968556E-1
5.57000000000000028E9	1.92061198879518891E-1
5.58000000000000007E9	1.90069811270436873E-1
5.58999999999999986E9	1.88079500445850201E-1
5.59999999999999964E9	1.86090276842446833E-1
5.61000000000000032E9	1.84102150845556922E-1
5.62000000000000011E9	1.82115132789201661E-1
5.62999999999999989E9	1.80129232956239171E-1
5.63999999999999968E9	1.78144461578249258E-1
5.65000000000000036E9	1.76160828835863148E-1
5.66000000000000014E9	1.74178344858602285E-1
5.66999999999999993E9	1.72197019725075728E-1
5.67999999999999972E9	1.70216863462980150E-1
5.68999999999999950E9	1.68237886049293239E-1
5.70000000000000018E9	1.66260097410214414E-1
5.70999999999999996E9	1.64283507421296493E-1
5.72000000000000064E9	1.62308125907473899E-1
5.72999999999999954E9	1.60333962643270045E-1
5.74000000000000021E9	1.58361027352776240E-1
5.75000000000000000E9	1.56389329709649694E-1
5.75999999999999979E9	1.54418879337383519E-1
5.77000000000000046E9	1.52449685809265212E-1
5.77999999999999936E9	1.50481758648482566E-1
5.79000000000000004E9	1.48515107328211604E-1
5.79999999999999982E9	1.46549741271667866E-1
5.81000000000000050E9	1.44585669852282717E-1
5.82000000000000028E9	1.42622902393612305E-1
5.83000000000000007E9	1.40661448169659753E-1
5.83999999999999986E9	1.38701316404737263E-1
5.84999999999999964E9	1.36742516273713033E-1
5.86000000000000032E9	1.34785056902018363E-1
5.87000000000000011E9	1.32828947365762451E-1
5.87999999999999989E9	1.30874196691774802E-1
5.88999999999999968E9	1.28920813857801297E-1
5.90000000000000036E9	1.26968807792481320E-1
5.91000000000000014E9	1.25018187375527834E-1
5.91999999999999993E9	1.23068961437735824E-1
5.92999999999999972E9	1.21121138761144387E-1
5.93999999999999950E9	1.19174728079096681E-1
5.95000000000000018E9	1.17229738076396695E-1
5.95999999999999996E9	1.15286177389244848E-1
5.97000000000000064E9	1.13344054605508004E-1
5.97999999999999954E9	1.11403378264764097E-1
5.99000000000000021E9	1.09464156858369854E-1
6.00000000000000000E9	1.07526398829500325E-1
6.00999999999999979E9	1.05590112573469730E-1
6.02000000000000046E9	1.03655306437561823E-1
6.02999999999999936E9	1.01721988721252155E-1
6.04000000000000004E9	9.97901676763710554E-2
6.04999999999999982E9	9.78598515070851960E-2
6.06000000000000050E9	9.59310483700866001E-2
