VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-1.00000000000000000E0	3.24999999999999645E0	5.55711752635166167E-3
-1.00000000000000000E0	3.29999999999999627E0	5.56128588222841724E-3
-1.00000000000000000E0	3.34999999999999609E0	5.56530671364832674E-3
-1.00000000000000000E0	3.39999999999999591E0	5.56919388057432574E-3
-1.00000000000000000E0	3.44999999999999574E0	5.57295995153443435E-3
-1.00000000000000000E0	3.49999999999999556E0	5.57661632286908482E-3
-1.00000000000000000E0	3.54999999999999538E0	5.58017332716278069E-3
-1.00000000000000000E0	3.59999999999999520E0	5.58364033180580854E-3
-1.00000000000000000E0	3.64999999999999503E0	5.58702582855536001E-3
-1.00000000000000000E0	3.69999999999999485E0	5.59033751489421071E-3
-1.00000000000000000E0	3.74999999999999467E0	5.59358236791872621E-3
-1.00000000000000000E0	3.79999999999999449E0	5.59676671142601112E-3
-1.00000000000000000E0	3.84999999999999432E0	5.59989627681329782E-3
-1.00000000000000000E0	3.89999999999999414E0	5.60297625834927793E-3
-1.00000000000000000E0	3.94999999999999396E0	5.60601136332888395E-3
-1.00000000000000000E0	3.99999999999999378E0	5.60900585757772330E-3
-1.00000000000000000E0	4.04999999999999361E0	5.61196360673163142E-3
-1.00000000000000000E0	4.09999999999999343E0	5.61488811367851337E-3
-1.00000000000000000E0	4.14999999999999325E0	5.61778255251534198E-3
-1.00000000000000000E0	4.19999999999999307E0	5.62064979934148301E-3
-1.00000000000000000E0	4.24999999999999289E0	5.62349246018017901E-3
-1.00000000000000000E0	4.29999999999999272E0	5.62631289629411668E-3
-1.00000000000000000E0	4.34999999999999254E0	5.62911324713614736E-3
-1.00000000000000000E0	4.39999999999999236E0	5.63189545115486823E-3
-1.00000000000000000E0	4.44999999999999218E0	5.63466126465415762E-3
-1.00000000000000000E0	4.49999999999999201E0	5.63741227888778162E-3
-1.00000000000000000E0	4.54999999999999183E0	5.64014993555340904E-3
-1.00000000000000000E0	4.59999999999999165E0	5.64287554083521314E-3
-1.00000000000000000E0	4.64999999999999147E0	5.64559027813035463E-3
-1.00000000000000000E0	4.69999999999999130E0	5.64829521958261438E-3
-1.00000000000000000E0	4.74999999999999112E0	5.65099133653405694E-3
-1.00000000000000000E0	4.79999999999999094E0	5.65367950899637783E-3
-1.00000000000000000E0	4.84999999999999076E0	5.65636053423348528E-3
-1.00000000000000000E0	4.89999999999999059E0	5.65903513453837093E-3
-1.00000000000000000E0	4.94999999999999041E0	5.66170396428003020E-3
-1.00000000000000000E0	4.99999999999999023E0	5.66436761628848817E-3
-1.00000000000000000E0	5.04999999999999005E0	5.66702662764020282E-3
-1.00000000000000000E0	5.09999999999998987E0	5.66968148490003099E-3
-1.00000000000000000E0	5.14999999999998970E0	5.67233262887061862E-3
-1.00000000000000000E0	5.19999999999998952E0	5.67498045889558345E-3
-1.00000000000000000E0	5.24999999999998934E0	5.67762533675830650E-3
-1.00000000000000000E0	5.29999999999998916E0	5.68026759021413863E-3
-1.00000000000000000E0	5.34999999999998899E0	5.68290751619076495E-3
-1.00000000000000000E0	5.39999999999998881E0	5.68554538368767215E-3
-1.00000000000000000E0	5.44999999999998863E0	5.68818143640288554E-3
-1.00000000000000000E0	5.49999999999998845E0	5.69081589511289820E-3
-1.00000000000000000E0	5.54999999999998828E0	5.69344895982874188E-3
-1.00000000000000000E0	5.59999999999998810E0	5.69608081174929559E-3
-1.00000000000000000E0	5.64999999999998792E0	5.69871161503098822E-3
-1.00000000000000000E0	5.69999999999998774E0	5.70134151839091441E-3
-1.00000000000000000E0	5.74999999999998757E0	5.70397065655936952E-3
-1.00000000000000000E0	5.79999999999998739E0	5.70659915159558651E-3
-1.00000000000000000E0	5.84999999999998721E0	5.70922711407986050E-3
-1.00000000000000000E0	5.89999999999998703E0	5.71185464419343525E-3
-1.00000000000000000E0	5.94999999999998685E0	5.71448183269685650E-3
-1.00000000000000000E0	6.00000000000000000E0	5.71710876181634209E-3

VGS	VDS	fetCharTestingSmartSim0..IDS.i[2, ::]
-8.00000000000000000E-1	1.00000000000000000E-1	1.18245674957520319E-3
-8.00000000000000000E-1	1.50000000000000022E-1	1.75643997663472828E-3
-8.00000000000000000E-1	2.00000000000000000E-1	2.31636179599005310E-3
-8.00000000000000000E-1	2.50000000000000000E-1	2.86052393201700506E-3
-8.00000000000000000E-1	3.00000000000000000E-1	3.38742836686964699E-3
-8.00000000000000000E-1	3.50000000000000000E-1	3.89578871775840962E-3
-8.00000000000000000E-1	3.99999999999999956E-1	4.38453689611491271E-3
-8.00000000000000000E-1	4.50000000000000000E-1	4.85282512282036649E-3
-8.00000000000000000E-1	4.99999999999999911E-1	5.30002352310766778E-3
-8.00000000000000000E-1	5.49999999999999911E-1	5.72571365862770598E-3
-8.00000000000000000E-1	6.00000000000000000E-1	6.12967846614208689E-3
