VGS	VDS	aLookAtMe_SimWizard0..IDS.i[0, ::]
-1.20000000000000040E0	2.20000000000000062E0	1.47030855934815863E-3
-1.20000000000000040E0	2.30000000000000071E0	1.47671678811449492E-3
-1.20000000000000040E0	2.40000000000000080E0	1.48199063706079248E-3
-1.20000000000000040E0	2.50000000000000089E0	1.48632798667541954E-3
-1.20000000000000040E0	2.60000000000000098E0	1.48989315605206851E-3
-1.20000000000000040E0	2.70000000000000107E0	1.49282227997051709E-3
-1.20000000000000040E0	2.80000000000000115E0	1.49522793015772781E-3
-1.20000000000000040E0	2.90000000000000124E0	1.49720304991889042E-3
-1.20000000000000040E0	3.00000000000000133E0	1.49882427958900744E-3
-1.20000000000000040E0	3.10000000000000142E0	1.50015475077143878E-3
-1.20000000000000040E0	3.20000000000000151E0	1.50124642331196512E-3
-1.20000000000000040E0	3.30000000000000160E0	1.50214203254936596E-3
-1.20000000000000040E0	3.40000000000000169E0	1.50287670695508258E-3
-1.20000000000000040E0	3.50000000000000178E0	1.50347930868822366E-3
-1.20000000000000040E0	3.60000000000000187E0	1.50397354233670488E-3
-1.20000000000000040E0	3.70000000000000195E0	1.50437887046161456E-3
-1.20000000000000040E0	3.80000000000000204E0	1.50471126862272686E-3
-1.20000000000000040E0	3.90000000000000213E0	1.50498384736715840E-3
-1.20000000000000040E0	4.00000000000000178E0	1.50520736417731227E-3
-1.20000000000000040E0	4.10000000000000142E0	1.50539064454828431E-3
-1.20000000000000040E0	4.20000000000000107E0	1.50554092812378082E-3
-1.20000000000000040E0	4.30000000000000071E0	1.50566415309308343E-3
-1.20000000000000040E0	4.40000000000000036E0	1.50576518977139506E-3
-1.20000000000000040E0	4.50000000000000000E0	1.50584803238223719E-3
-1.20000000000000040E0	4.59999999999999964E0	1.50591595648098053E-3
-1.20000000000000040E0	4.69999999999999929E0	1.50597164814710283E-3
-1.20000000000000040E0	4.79999999999999893E0	1.50601730999023253E-3
-1.20000000000000040E0	4.89999999999999858E0	1.50605474811805262E-3
-1.20000000000000040E0	4.99999999999999822E0	1.50608544347756723E-3
-1.20000000000000040E0	5.09999999999999787E0	1.50611061037141969E-3
-1.20000000000000040E0	5.19999999999999751E0	1.50613124445138413E-3
-1.20000000000000040E0	5.29999999999999716E0	1.50614816207868518E-3
-1.20000000000000040E0	5.39999999999999680E0	1.50616203260227444E-3
-1.20000000000000040E0	5.49999999999999645E0	1.50617340482837281E-3
-1.20000000000000040E0	5.59999999999999609E0	1.50618272872569903E-3
-1.20000000000000040E0	5.69999999999999574E0	1.50619037322352778E-3
-1.20000000000000040E0	5.79999999999999538E0	1.50619664080534310E-3
-1.20000000000000040E0	5.89999999999999503E0	1.50620177947522516E-3
-1.20000000000000040E0	6.00000000000000000E0	1.50620599256908871E-3

VGS	VDS	aLookAtMe_SimWizard0..IDS.i[5, ::]
-1.15000000000000036E0	1.00000000000000000E-1	2.47324989481902557E-4
-1.15000000000000036E0	2.00000000000000000E-1	4.86537761833463112E-4
